Authors,License,Link,Title,Community,Description,Discipline,FileFormat,Keywords,Language,LearningResourceType,MediaType,ProficiencyLevel,PublicationDate,TargetGroup,RelatedWork,Size,Version
"Kugler, Elisabeth",,https://focalplane.biologists.com/2023/07/26/sharing-your-poster-on-figshare/,Sharing Your Poster on Figshare: A Community Guide to How-To and Why,,,Unknown,Unknown,Sharing * Research Data Management * include in DALIA,,Text,text,novice,,Unknown,Unknown,Unknown,Unknown
"Zoccoler, Marcelo",CC-BY-4.0,https://biapol.github.io/blog/marcelo_zoccoler/omero_scripts/readme.html,Running Deep-Learning Scripts in the BiA-PoL Omero Server,,,Unknown,Unknown,Python * Artificial Intelligence * Bioimage Analysis * include in DALIA,,Text,text,proficient,,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",CC-BY-4.0,https://biapol.github.io/blog/robert_haase/browsing_idr/readme.html,Browsing the Open Microscopy Image Data Resource with Python,,,Unknown,Unknown,OMERO * Python * include in DALIA,,Text,text,competent,,Unknown,Unknown,Unknown,Unknown
"Lampert, Mara",CC-BY-4.0,https://biapol.github.io/blog/mara_lampert/getting_started_with_mambaforge_and_python/readme.html,Getting started with Mambaforge and Python,,,Unknown,Unknown,Python * Conda * Mamba * include in DALIA,,Text,text,novice,,Unknown,Unknown,Unknown,Unknown
"Waters, Jennifer",,https://datamanagement.hms.harvard.edu/news/promoting-data-management-nikon-imaging-center-and-cell-biology-microscopy-facility,Promoting Data Management at the Nikon Imaging Center and Cell Biology Microscopy Facility,,,Unknown,Unknown,Research Data Management * include in DALIA,,Text,text,novice,,Unknown,Unknown,Unknown,Unknown
"Fermie, Job",,https://blog.delmic.com/data-handling-in-large-scale-electron-microscopy,Data handling in large-scale electron microscopy,,,Unknown,Unknown,Research Data Management * include in DALIA,,Text,text,novice,,Unknown,Unknown,Unknown,Unknown
"Lampert, Mara",,https://focalplane.biologists.com/2023/06/01/tracking-in-napari/,Tracking in napari,,,Unknown,Unknown,Python * Napari * Bioimage Analysis * include in DALIA,,Text,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Lampert, Mara",,https://focalplane.biologists.com/2023/05/03/feature-extraction-in-napari/,Feature extraction in napari,,,Unknown,Unknown,Python * Napari * Bioimage Analysis * include in DALIA,,Text,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Lampert, Mara",,https://focalplane.biologists.com/2023/03/30/annotating-3d-images-in-napari/,Annotating 3D images in napari,,,Unknown,Unknown,Python * Napari * Bioimage Analysis * include in DALIA,,Text,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",CC-BY-4.0,https://focalplane.biologists.com/2022/12/08/managing-scientific-python-environments-using-conda-mamba-and-friends/,"Managing Scientific Python environments using Conda, Mamba and friends",,,Unknown,Unknown,Python * Conda * Mamba * include in DALIA,,Text,text,novice,,Unknown,Unknown,Unknown,Unknown
"Lampert, Mara",,https://focalplane.biologists.com/2023/04/13/quality-assurance-of-segmentation-results/,Quality assurance of segmentation results,,,Unknown,Unknown,Python * Napari * Bioimage Analysis * include in DALIA,,Text,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Lampert, Mara",,https://focalplane.biologists.com/2023/03/02/rescaling-images-and-pixel-anisotropy/,Rescaling images and pixel (an)isotropy,,,Unknown,Unknown,Python * Napari * Bioimage Analysis * include in DALIA,,Text,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Wendt, Jens",,https://forum.image.sc/t/user-friendly-image-metadata-annotation-tool-workflow-for-omero/87925/1,User friendly Image metadata annotation tool/workflow for OMERO,,,Unknown,Unknown,Metadata * Workflow * OMERO * include in DALIA,,Text,text,competent,,Unknown,Unknown,Unknown,Unknown
"Lampert, Mara",,https://focalplane.biologists.com/2024/04/03/how-to-write-a-bug-report/,How to write a bug report,,,Unknown,Unknown,Github * Python * Science Communication * include in DALIA,,Text,text,novice,,Unknown,Unknown,Unknown,Unknown
"Lampert, Mara",,https://focalplane.biologists.com/2024/07/18/prompt-engineering-in-bio-image-analysis/,Prompt Engineering in Bio-image Analysis,,,Unknown,Unknown,Python * Jupyter * Bioimage Analysis * Prompt Engineering * Biabob * include in DALIA,,Text,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown
Robert Haase et al.,CC-BY-4.0 * BSD-3-Clause,https://haesleinhuepf.github.io/BioImageAnalysisNotebooks/intro.html,BioImage Analysis Notebooks,,,Unknown,Unknown,Python * Bioimage Analysis * include in DALIA,,Code Notebook * Book,code * text,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Bankhead, Pete",CC-BY-4.0,https://bioimagebook.github.io/index.html,Introduction to Bioimage Analysis,,,Unknown,Unknown,Python * Imagej * Bioimage Analysis * include in DALIA,,Code Notebook * Book,code * text,novice,,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",CC-BY-4.0,https://f1000research.com/slides/12-971,Generative artificial intelligence for bio-image analysis,,,Unknown,Unknown,Python * Bioimage Analysis * Artificial Intelligence * include in DALIA,,Presentation,presentation,competent,,Unknown,Unknown,Unknown,Unknown
Katarzyna Biernacka * Maik Bierwirth * Petra Buchholz * Dominika Dolzycka * Kerstin Helbig * Janna Neumann * Carolin Odebrecht * Cord Wiljes * Ulrike Wuttke,CC-BY-4.0,https://doi.org/10.5281/zenodo.4071471,Train-the-Trainer Concept on Research Data Management,,"Within the project FDMentor, a German Train-the-Trainer Programme on Research Data Management (RDM) was developed and piloted in a series of workshops. The topics cover many aspects of research data management, such as data management plans and the publication of research data, as well as didactic units on learning concepts, workshop design and a range of didactic methods.

After the end of the project, the concept was supplemented and updated by members of the Sub-Working Group Training/Further Education (UAG Schulungen/Fortbildungen) of the DINI/nestor Working Group Research Data (DINI/nestor-AG Forschungsdaten). The newly published English version of the Train-the-Trainer Concept contains the translated concept, the materials and all methods of the Train-the-Trainer Programme. Furthermore, additional English references and materials complement this version.",Unknown,.pdf * .zip,Research Data Management * include in DALIA,en,Book,text,competent,2020-11-04,Unknown,Unknown,Unknown,Unknown
Katarzyna Biernacka * Katrin Cortez * Kerstin Helbig,CC-BY-4.0,https://doi.org/10.5281/zenodo.3490058,Efficiently starting institutional research data management,,"Researchers are increasingly often confronted with research data management (RDM) topics during their work. Higher education institutions therefore begin to offer services for RDM at some point to give support and advice. However, many groundbreaking decisions have to be made at the very beginning of RDM services. Priorities must be set and policies formulated. Likewise, the staff must first be qualified in order to provide advice and adequately deal with the manifold problems awaiting.
The FDMentor project has therefore bundled the expertise of five German universities with different experiences and levels of RDM knowledge to jointly develop strategies, roadmaps, guidelines, and open access training material. Humboldt-Universit&auml;t zu Berlin, Freie Universit&auml;t Berlin, Technische Universit&auml;t Berlin, University of Potsdam, and European University Viadrina Frankfurt (Oder) have worked together on common solutions that are easy to adapt. With funding of the German Federal Ministry of Education and Research, the collaborative project addressed four problem areas: strategy development, legal issues, policy development, and competence enhancement. The aim of the project outcomes is to provide other higher education institutions with the best possible support for the efficient introduction of research data management. Therefore, all project results are freely accessible under the CC-BY 4.0 international license. The early involvement of the community in the form of workshops and the collection of feedback has proven its worth: the FDMentor strategies, roadmaps, guidelines, and training materials are applied and adapted beyond the partner universities.",Unknown,.pdf,Research Data Management * include in DALIA,en,Text,text,proficient,2019-10-15,Unknown,Unknown,Unknown,Unknown
Mark Jenkinson * Jens Rittscher * Dominic Waithe,GPL-2.0,https://github.com/dwaithe/ONBI_image_analysis,ONBI Image Analysis Course,,This repository contains the materials for the University of Oxford DTC ONBI Image Analysis course.,Unknown,Unknown,Python * Bioimage Analysis * include in DALIA,,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Cardona, Albert",CC0-1.0,https://syn.mrc-lmb.cam.ac.uk/acardona/fiji-tutorial/,A Fiji Scripting Tutorial,,,Unknown,Unknown,Imagej * Bioimage Analysis * include in DALIA,,Code Notebook,code,competent,,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",,https://git.mpi-cbg.de/rhaase/lecture_applied_bioimage_analysis,Lecture Applied Bioimage Analysis 2020,,"Slides, scripts, data and other exercise materials of the BioImage Analysis lecture at CMCB TU Dresden 2020",Unknown,Unknown,Imagej * Bioimage Analysis * include in DALIA,,Presentation,presentation,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",BSD-3-Clause,https://git.mpi-cbg.de/rhaase/lecture_imagej2_dev,ImageJ2 API-beating,,,Unknown,Unknown,Neubias * Imagej * Bioimage Analysis * include in DALIA,,Presentation,presentation,competent,,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",BSD-3-Clause,https://git.mpi-cbg.de/rhaase/lecture_multiview_registration,Multi-view fusion,,Lecture slides of a session on Multiview Fusion in Fiji,Unknown,Unknown,Neubias * Imagej * Bioimage Analysis * include in DALIA,,Presentation,presentation,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",BSD-3-Clause,https://git.mpi-cbg.de/rhaase/lecture_tracking_trackmate,"Tracking Theory, TrackMate, and Mastodon",,Lecture slides of a session on Cell Tracking in Fiji,Unknown,Unknown,Neubias * Imagej * Bioimage Analysis * include in DALIA,,Presentation,presentation,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",BSD-3-Clause,https://git.mpi-cbg.de/rhaase/lecture_working_with_pixels,Working with pixels,,,Unknown,Unknown,Neubias * Imagej * Bioimage Analysis * include in DALIA,,Presentation,presentation,novice,,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",BSD-3-Clause,https://git.mpi-cbg.de/rhaase/lecture_working_with_objects_in_2d_and_3d,Working with objects in 2D and 3D,,,Unknown,Unknown,Neubias * Imagej * Bioimage Analysis * include in DALIA,,Presentation,presentation,novice,,Unknown,Unknown,Unknown,Unknown
"Witz, Guillaume",MIT,https://github.com/guiwitz/Python_image_processing,Image processing with Python,,"Series of Notebooks exposing how to do mostly basic and some advanced image processing using Python. It uses standard packages (Numpy, Maplotlib) and for the image processing parts is heavily based on the scikit-image package.",Unknown,Unknown,Python * include in DALIA,en,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Musacchio, Fabrizio",CC-BY-ND-SA-4.0,https://www.fabriziomusacchio.com/teaching/teaching_bioimage_analysis/,Bioimage analysis with Napari,,,Unknown,Unknown,Python * Napari * Bioimage Analysis * include in DALIA,,Other,,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Chiesa, Stefano Della",CC-BY-4.0,https://doi.org/10.5281/zenodo.6602101,Research Data Management Seminar - Slides,,"This Research Data Management (RDM) Slides introduce to the multidisciplinary knowledge and competencies required to address policy compliance and research data management best practices throughout a project lifecycle, and beyond it.


	Module 1 - Introduces the RDM giving its context in the Research Data Governance
	Module 2 - Illustrates the most important RDM policies and principles
	Module 3 - Provides the most relevant RDM knowledge bricks
	Module 4 - Discuss the Data Management Plans (DMPs), examples, templates and guidance


&nbsp;",Unknown,.pdf,Research Data Management * include in DALIA,en,Presentation,presentation,advanced beginner,2022-05-18,Unknown,Unknown,Unknown,Unknown
Rebecca A. Senft * Barbara Diaz-Rohrer * Pina Colarusso * Lucy Swift * Nasim Jamali * Helena Jambor * Thomas Pengo * Craig Brideau * Paula Montero Llopis * Virginie Uhlmann * Jason Kirk * Kevin Andrew Gonzales * Peter Bankhead * Edward L. Evans III * Kevin W. Eliceiri * Beth A. Cimini,BSD-3-Clause,https://doi.org/10.1371/journal.pbio.3002167,A biologist’s guide to planning and performing quantitative bioimaging experiments,,,Unknown,Unknown,include in DALIA,,Article * Other,text,novice,,Unknown,Unknown,Unknown,Unknown
"Miura, Kota",ALL RIGHTS RESERVED,https://github.com/miura/ij_textbook1/raw/76b51338e1f006c580b6f0f5cfc48fe02fba38d7/CMCIBasicCourse201102Bib.pdf,Basics of Image Processing and Analysis,,,Unknown,Unknown,Bioimage Analysis * include in DALIA,,Book,text,novice,,Unknown,Unknown,Unknown,Unknown
Robert Haase * Benoit Lombardot,CC-BY-NC-4.0,https://github.com/mpicbg-scicomp/CourseIntroToIA,Introduction to Image Analysis with Fiji,,,Unknown,Unknown,Imagej * Fiji * Bioimage Analysis * include in DALIA,,,,novice,,Unknown,Unknown,Unknown,Unknown
"Yamauchi, Kevin",CC-BY-4.0,https://kevinyamauchi.github.io/open-image-data/how_tos/conda_forge_packaging.html,Making your package available on conda-forge,,,Unknown,Unknown,Deployment * Python * include in DALIA,,Text,text,competent,,Unknown,Unknown,Unknown,Unknown
