Authors,License,Link,Title,Community,Description,Discipline,FileFormat,Keywords,Language,LearningResourceType,MediaType,ProficiencyLevel,PublicationDate,TargetGroup,RelatedWork,Size,Version,uuid
"Kugler, Elisabeth",,https://focalplane.biologists.com/2023/07/26/sharing-your-poster-on-figshare/,Sharing Your Poster on Figshare: A Community Guide to How-To and Why,,,Unknown,Unknown,Sharing * Research Data Management * include in DALIA,,Text,text,novice,,Unknown,Unknown,Unknown,Unknown,63067620-fda2-407d-97f4-2f7c78bd5f9c
"Zoccoler, Marcelo",CC-BY-4.0,https://biapol.github.io/blog/marcelo_zoccoler/omero_scripts/readme.html,Running Deep-Learning Scripts in the BiA-PoL Omero Server,,,Unknown,Unknown,Python * Artificial Intelligence * Bioimage Analysis * include in DALIA,,Text,text,proficient,,Unknown,Unknown,Unknown,Unknown,9d158030-2d9c-41f5-b119-2878a9186e60
"Haase, Robert",CC-BY-4.0,https://biapol.github.io/blog/robert_haase/browsing_idr/readme.html,Browsing the Open Microscopy Image Data Resource with Python,,,Unknown,Unknown,OMERO * Python * include in DALIA,,Text,text,competent,,Unknown,Unknown,Unknown,Unknown,7871fe01-c733-4785-89c8-0a8021fbbe96
"Lampert, Mara",CC-BY-4.0,https://biapol.github.io/blog/mara_lampert/getting_started_with_mambaforge_and_python/readme.html,Getting started with Mambaforge and Python,,,Unknown,Unknown,Python * Conda * Mamba * include in DALIA,,Text,text,novice,,Unknown,Unknown,Unknown,Unknown,46c85dfd-9324-47ae-b2d8-87a6efd55e7b
"Waters, Jennifer",,https://datamanagement.hms.harvard.edu/news/promoting-data-management-nikon-imaging-center-and-cell-biology-microscopy-facility,Promoting Data Management at the Nikon Imaging Center and Cell Biology Microscopy Facility,,,Unknown,Unknown,Research Data Management * include in DALIA,,Text,text,novice,,Unknown,Unknown,Unknown,Unknown,a55de52a-b50c-4a9a-8e60-fd952a637bfe
"Fermie, Job",,https://blog.delmic.com/data-handling-in-large-scale-electron-microscopy,Data handling in large-scale electron microscopy,,,Unknown,Unknown,Research Data Management * include in DALIA,,Text,text,novice,,Unknown,Unknown,Unknown,Unknown,7f976f41-06d4-4a44-8b4c-ef0fb9f542df
"Lampert, Mara",,https://focalplane.biologists.com/2023/06/01/tracking-in-napari/,Tracking in napari,,,Unknown,Unknown,Python * Napari * Bioimage Analysis * include in DALIA,,Text,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown,70b60e86-ee10-4340-93f8-35f5e99c43bf
"Lampert, Mara",,https://focalplane.biologists.com/2023/05/03/feature-extraction-in-napari/,Feature extraction in napari,,,Unknown,Unknown,Python * Napari * Bioimage Analysis * include in DALIA,,Text,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown,e8ec2083-7a24-4fea-97f2-20dfa600a943
"Lampert, Mara",,https://focalplane.biologists.com/2023/03/30/annotating-3d-images-in-napari/,Annotating 3D images in napari,,,Unknown,Unknown,Python * Napari * Bioimage Analysis * include in DALIA,,Text,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown,75af3616-5048-48bc-ad0e-363b12207905
"Haase, Robert",CC-BY-4.0,https://focalplane.biologists.com/2022/12/08/managing-scientific-python-environments-using-conda-mamba-and-friends/,"Managing Scientific Python environments using Conda, Mamba and friends",,,Unknown,Unknown,Python * Conda * Mamba * include in DALIA,,Text,text,novice,,Unknown,Unknown,Unknown,Unknown,5ece191e-3202-4983-a655-28ce75f8574b
