url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/record/4071471,"""Biernacka, Katarzyna and Bierwirth, Maik and Buchholz, Petra and Dolzycka, Dominika and Helbig, Kerstin and Neumann, Janna and Odebrecht, Carolin and Wiljes, Cord and Wuttke, Ulrike""",4994,3806,6286,5683,4974,3789,5658,6260
https://zenodo.org/record/3490058,"""Biernacka, Katarzyna and Cortez, Katrin and Helbig, Kerstin""",119,111,195,177,117,109,172,190
https://zenodo.org/record/6602101,"""Della Chiesa, Stefano""",1300,866,987,816,338,246,195,235
https://zenodo.org/records/8323588,"""Schmidt, Christian and Bortolomeazzi, Michele and Boissonnet, Tom and Fortmann-Grote, Carsten and Dohle, Julia and Zentis, Peter and Kandpal, Niraj and Kunis, Susanne and Zobel, Thomas and Weidtkamp-Peters, Stefanie and Ferrando-May, Elisa""",5043,4459,2996,2811,5043,4459,2811,2996
https://zenodo.org/records/2643411,"""Stephen Royle""",112,108,812,780,112,108,778,810
https://zenodo.org/records/4330625,"""Kreshuk, Anna and Kutra, Dominik""",44,42,107,99,44,42,99,107
https://zenodo.org/records/4334697,"""Floden, Evan and Di Tommaso, Paolo""",86,85,70,68,86,85,68,70
https://zenodo.org/records/4328911,"""Bankhead, Peter""",178,166,64,62,177,165,62,64
https://zenodo.org/records/4317149,"""Jordan, Kari and Kamvar, Zhian and Hodges, Toby""",37,35,67,64,37,35,64,67
https://zenodo.org/records/10083555,"""Wetzker, Cornelia""",116,96,146,141,116,96,141,146
https://zenodo.org/records/10815329,"""Haase, Robert""",408,323,389,368,341,267,319,333
https://zenodo.org/records/10679054,"""Fazeli, Elnaz""",167,137,244,235,167,137,235,244
https://zenodo.org/records/10654775,"""Haase, Robert""",239,206,450,415,75,70,245,271
https://zenodo.org/records/10008465,"""Moore, Josh""",109,73,143,138,109,73,138,143
https://zenodo.org/records/10972692,"""Haase, Robert""",247,191,291,263,234,179,238,262
https://zenodo.org/records/10990107,"""Haase, Robert""",229,168,294,275,209,150,229,245
https://zenodo.org/records/10970869,"""Haase, Robert""",170,148,180,172,170,148,172,180
https://zenodo.org/records/11066250,"""Haase, Robert""",130,109,123,113,124,103,95,104
https://zenodo.org/records/11473803,"""Kemmer, Isabel and Euro-BioImaging ERIC""",288,228,388,360,288,228,360,388
https://zenodo.org/records/11474407,"""Kemmer, Isabel and Euro-BioImaging ERIC""",173,138,216,202,173,138,202,216
https://zenodo.org/records/11548617,"""Zoccoler, Marcelo and Bekemeier, Simon and Boissonnet, Tom and Parker, Simon and Bertinetti, Luca and Gentzel, Marc and Massei, Riccardo and Wetzker, Cornelia""",750,618,306,248,750,618,248,306
