repo_name,stars,forks
bioimage-io/Workshop-June2024-Madrid,4,2
Koushouu/Bioimage-Analysis-Workshop-Taipei,4,1
Koushouu/Bioimage-Analysis-Workshop-23-24,8,4
WeiChenChu/Bioimage_Analysis_ICOB_2023,1,1
German-BioImaging/RDM4mic,7,1
CellProfiler/tutorials,84,86
dwaithe/ONBI_image_analysis,16,3
guiwitz/Python_image_processing,15,11
tpecot/DeepLearningBasedSegmentationForBiologists,11,3
zeissmicroscopy/ZEN_Python_OAD_workshop,15,1
miura/ij_textbook1,7,6
mpicbg-scicomp/CourseIntroToIA,8,3
ome/omero-deployment-examples,11,12
InsightSoftwareConsortium/ITKElastix,213,23
RMS-DAIM/Python-for-Bioimage-Analysis,132,44
guiwitz/Fundamentals_image_processing,20,4
guiwitz/NumpyPandas_course,53,34
guiwitz/neubias_academy_biapy,61,36
bnsreenu/python_for_microscopists,3999,2422
VolkerH/Jupyter-Napari-Desktop,8,1
rougier/scientific-visualization-book,10721,994
CamachoDejay/teaching-bioimage-analysis-python,17,3
CamachoDejay/Teaching-ImageJ-FIJI,5,0
jni/halfway-to-i2k-skimage-napari,6,0
scipy-2023-image-analysis/tutorial,6,8
guiwitz/DaskCourse,4,6
guiwitz/DLImaging,13,2
guiwitz/MICPy_Workshop_2022,2,0
miura/NEUBIAS_Bioimage_Analyst_Course2017,6,3
quantixed/TheDigitalCell,0,3
miura/NEUBIAS_AnalystSchool2020,13,18
miura/NEUBIAS_AnalystSchool2019,5,11
miura/NEUBIAS_AnalystSchool2018,9,5
marionlouveaux/NEUBIAS2018_TS7,0,0
miura/BIAS_Nucleus_Segmentation,0,0
miura/HTManalysisCourse,0,1
tischi/presentation-image-analysis,0,1
WhoIsJack/python-bioimage-analysis-tutorial,95,39
WhoIsJack/EMBL-CodingClub,3,4
karinsasaki/python-workshop-image-processing,32,17
karinsasaki/metabolic-networks-modelling,4,3
tischi/cellprofiler-practical-NeuBIAS-Lisbon-2017,6,2
tischi/i2k-2020-s3-zarr-workshop,0,1
datacarpentry/image-processing,100,122
kreshuklab/teaching-dl-course-2019,6,9
kreshuklab/teaching-dl-course-2023,5,5
kreshuklab/teaching-dl-course-2022,6,6
yandexdataschool/deep_vision_and_graphics,306,93
kreshuklab/predoc-course,2,2
imjoy-team/bioimage-io-resources,2,4
constantinpape/training-deep-learning-models-for-vison,8,3
constantinpape/dl-teaching-resources,4,1
JaneliaSciComp/nf-demos,2,2
JaneliaSciComp/2020AprilGitCourse,2,10
HenriquesLab/ZeroCostDL4Mic,566,130
HenriquesLab/DL4MicEverywhere,70,10
guijacquemet/CellTracksColab,42,4
tischi/image-analysis-course-material,0,0
guiwitz/PyImageCourse_beginner,26,11
ahklemm/ImageJMacro_Introduction,24,10
ahklemm/CellProfiler_Introduction,7,2
maweigert/embo_2022,0,0
maweigert/neubias_academy_stardist,28,13
maweigert/stardist-i2k,4,1
maweigert/zidas_2020_DL_intro_Part_2,0,1
holgerhennig/machine-learning-IFC,10,4
cytomining/profiling-handbook,9,8
cytomining/DeepProfiler-handbook,8,3
esgomezm/NEUBIAS_chapter_DL_2020,0,0
esgomezm/zidas2020_intro_DL,3,1
JLrumberger/DL-MBL-2021,0,3
galaxyproject/training-material,310,911
RoccoDAnt/Defragmentation_TrainingSchool_EOSC-Life_2022,7,3
hereariim/DEEP-NAPARI,0,0
BiAPoL/Bio-image_Analysis_with_Python,199,47
BiAPoL/PoL-BioImage-Analysis-TS-GPU-Accelerated-Image-Analysis,25,9
ScaDS/BIDS-lecture-2024,37,19
computational-cell-analytics/dl-for-micro,13,0
gletort/NeubiasPasteur2023_AdvancedCellPose,7,1
rmassei/2024-jn-omero-pipeline,3,0
ScaDS/BIDS-lecture-2024,37,19
NFDI4BIOIMAGE/Cologne-Hackathon-2023,1,0
ciminilab/2021_Jamali_BiologicalImaging,1,1
COBA-NIH/2023_ImageAnalysisSurvey,3,0
juglab/EmbedSeg,112,23
scipy/scipy-cookbook,471,181
InsightSoftwareConsortium/SimpleITK-Notebooks,842,351
scikit-image/skimage-tutorials,493,374
INRIA/scikit-learn-mooc,1120,516
yandexdataschool/nlp_course,9832,2608
glencoesoftware/bioformats2raw,83,35
glencoesoftware/raw2ometiff,49,22
GReD-Clermont/simple-omero-client,9,7
GReD-Clermont/omero_batch-plugin,4,0
NL-BioImaging/biomero,14,2
ome/omero-cli-transfer,16,14
ome/ome-ngff-validator,5,4
qupath/i2k-qupath-for-python-programmers,6,1
saalfeldlab/i2k2024-lazy-workshop,3,0
royerlab/ultrack-i2k2024,4,1
BIIFSweden/I2K2024-MTIWorkshop,4,0
haesleinhuepf/i2k2024-ai-code-generation,0,0
CellMigrationLab/I2K_2024,3,0
StRigaud/clesperanto_workshop_I2K24?tab=readme-ov-file,8,0
timmonko/napari-ndev,6,0
m-albert/Virtual-I2K-2024-multiview-stitcher,4,0
HelmholtzAI-Consultants-Munich/Prompt-Engineering-LLMs-Course,4,0
vibbits/introduction-to-generative-ai,3,0
vibbits/nextflow-workshop,10,9
rmassei/ymia_python_event_series_material,4,2
SaibotMagd/RDM_system_connector,0,0
deeplife4eu/Lecture-materials,13,12
NEUBIAS/training-resources,48,21
cxli233/Online_R_learning,499,101
cxli233/FriendsDontLetFriends,6468,248
