Date,RecordCount
2024-06-28,77
2024-07-11,209
2024-08-09,141
2024-08-26,63
2024-09-03,195
2024-09-10,178
2024-09-17,214
2024-09-24,59
2024-10-01,185
2024-10-08,188
2024-10-15,39
2024-10-22,34
2024-10-29,188
2024-11-05,213
2024-11-12,161
2024-11-19,37
2024-11-26,209
2024-12-03,145
2024-12-10,212
2024-12-17,199
2024-12-24,68
2024-12-31,40
2025-01-07,166
2025-01-14,198
2025-01-21,182
2025-01-28,61
2025-02-04,282
2025-02-11,129
2025-02-18,147
2025-02-25,278
2025-03-04,150
2025-03-11,143
2025-03-18,43
2025-03-25,64
2025-04-01,59
2025-04-08,59
2025-04-15,177
2025-04-22,158
2025-04-29,34
2025-05-06,212
2025-05-13,214
2025-05-20,196
2025-05-27,161
2025-06-03,43
2025-06-10,43
